#z[kpc]	i20	err	alpha	err
0.2000	0.6960	0.0326	-0.65	0.06
0.6000	0.3583	0.0237	-0.74	0.06
1.0000	0.2041	0.0160	-0.87	0.06
1.4000	0.1299	0.0102	-0.96	0.06
1.8000	0.0912	0.0067	-0.99	0.06
2.2000	0.0688	0.0049	-1.01	0.06
2.6000	0.0544	0.0039	-1.05	0.07
3.0000	0.0442	0.0033	-1.09	0.07
3.4000	0.0364	0.0029	-1.11	0.07
3.8000	0.0302	0.0025	-1.12	0.08
4.2000	0.0251	0.0022	-1.14	0.08
4.6000	0.0210	0.0019	-1.17	0.09
5.0000	0.0175	0.0017	-1.27	0.10
5.4000	0.0146	0.0014	-1.35	0.11
5.8000	0.0122	0.0013	-1.37	0.12
6.2000	0.0102	0.0011	-1.38	0.15
